equipment_type,model,site_id,season,region,month,rental_days,previous_rental_count,avg_engine_hours,avg_idle_hours,utilization_rate,target_expected_demand
Backhoe Loader,420,SITE_025,Monsoon,North,4,80,34,6.97,1.46,0.8269,36.0
Excavator,320 GC,SITE_035,Winter,East,1,27,18,5.25,1.94,0.7305,38.0
Backhoe Loader,420,SITE_009,Monsoon,West,9,31,3,5.92,2.79,0.6797,18.0
Excavator,336,SITE_003,Monsoon,East,7,47,12,10.94,1.39,0.8876,39.0
Backhoe Loader,420,SITE_032,PostMonsoon,West,4,42,4,6.81,2.1,0.7642,26.0
Bulldozer,D8,SITE_041,PostMonsoon,South,1,66,3,8.69,1.21,0.8778,37.0
Articulated Truck,745,SITE_050,PostMonsoon,East,12,64,4,5.33,1.16,0.8217,33.0
Excavator,336,SITE_038,Summer,North,2,36,9,8.06,1.27,0.8643,54.0
Compact Track Loader,259D3,SITE_016,Monsoon,East,9,61,17,4.01,1.9,0.6781,25.0
Articulated Truck,745,SITE_020,PostMonsoon,South,7,11,21,10.49,2.62,0.8001,39.0
Bulldozer,D8,SITE_022,Monsoon,South,7,38,34,8.26,2.52,0.7662,43.0
Wheel Loader,966,SITE_034,Summer,East,4,29,46,6.52,1.26,0.8378,62.0
Wheel Loader,950 GC,SITE_023,Monsoon,South,2,61,7,10.44,2.49,0.8073,29.0
Bulldozer,D8,SITE_037,Winter,East,12,55,43,7.78,2.88,0.7295,50.0
Bulldozer,D8,SITE_003,Winter,North,4,20,10,6.26,1.07,0.8541,41.0
Excavator,336,SITE_035,Monsoon,East,4,88,11,9.76,1.4,0.8747,43.0
Bulldozer,D8,SITE_046,Summer,South,3,47,7,5.02,2.1,0.705,42.0
Articulated Truck,745,SITE_021,Monsoon,South,9,85,5,4.56,3.33,0.5779,22.0
Wheel Loader,966,SITE_018,Summer,South,6,38,30,4.12,2.81,0.5949,51.0
Motor Grader,140,SITE_019,PostMonsoon,North,5,89,35,7.22,1.17,0.8601,41.0
Compact Track Loader,259D3,SITE_028,Monsoon,East,3,13,17,8.84,2.85,0.756,24.0
Wheel Loader,966,SITE_039,Winter,West,5,58,30,8.37,2.58,0.7642,44.0
Wheel Loader,966,SITE_035,PostMonsoon,North,12,20,8,9.14,3.31,0.7342,42.0
Motor Grader,140,SITE_002,Monsoon,North,5,85,22,9.32,1.41,0.8685,27.0
Bulldozer,D6,SITE_026,Monsoon,West,5,59,19,4.45,1.13,0.7979,31.0
Excavator,320 GC,SITE_035,Summer,South,11,69,22,9.91,1.29,0.8845,49.0
Wheel Loader,966,SITE_048,Winter,East,8,58,30,7.22,3.36,0.6826,45.0
Excavator,320 GC,SITE_041,Winter,West,8,15,42,8.82,2.31,0.7922,51.0
Backhoe Loader,420,SITE_040,Summer,South,11,40,9,10.27,2.91,0.7791,30.0
Excavator,320 GC,SITE_023,Winter,West,3,75,33,10.92,2.33,0.8241,48.0
Wheel Loader,950 GC,SITE_024,PostMonsoon,South,1,11,21,9.16,2.06,0.8165,45.0
Wheel Loader,966,SITE_011,Winter,North,3,13,29,6.48,2.24,0.7435,48.0
Articulated Truck,745,SITE_010,Monsoon,North,12,87,32,9.48,1.68,0.8492,36.0
Compact Track Loader,259D3,SITE_002,PostMonsoon,East,3,55,37,8.31,3.32,0.7142,39.0
Excavator,336,SITE_010,Summer,South,12,8,14,8.08,3.24,0.7134,59.0
Excavator,336,SITE_011,Monsoon,North,1,46,19,5.57,2.12,0.7247,36.0
Compact Track Loader,259D3,SITE_050,Monsoon,South,4,50,33,7.47,1.04,0.878,29.0
Bulldozer,D6,SITE_035,Monsoon,South,7,45,13,10.43,1.76,0.8559,29.0
Articulated Truck,745,SITE_046,Winter,East,7,29,45,4.38,1.96,0.6907,46.0
Bulldozer,D8,SITE_043,Summer,East,12,35,14,5.15,1.4,0.787,47.0
Wheel Loader,950 GC,SITE_023,Winter,South,6,49,38,8.13,2.53,0.7631,46.0
Bulldozer,D8,SITE_019,PostMonsoon,West,7,31,38,5.12,2.38,0.6823,51.0
Backhoe Loader,420,SITE_034,PostMonsoon,West,10,27,47,8.31,1.56,0.8416,43.0
Compact Track Loader,259D3,SITE_048,Summer,West,4,42,23,9.94,3.52,0.7384,36.0
Wheel Loader,966,SITE_011,Winter,North,7,76,20,10.97,2.1,0.8391,44.0
Wheel Loader,966,SITE_020,Monsoon,South,6,32,38,8.64,1.01,0.8958,44.0
Wheel Loader,966,SITE_017,PostMonsoon,North,4,20,4,4.45,2.74,0.6191,39.0
Motor Grader,140,SITE_004,Winter,East,8,40,31,9.63,1.81,0.8419,37.0
Wheel Loader,950 GC,SITE_022,Winter,West,12,36,39,5.47,3.48,0.6114,46.0
Wheel Loader,950 GC,SITE_048,Summer,South,7,61,34,4.62,1.66,0.7355,53.0
Compact Track Loader,259D3,SITE_045,Summer,West,6,10,21,9.5,1.36,0.8752,36.0
Bulldozer,D8,SITE_047,Monsoon,South,11,15,27,8.11,1.55,0.8393,35.0
Excavator,320 GC,SITE_030,Monsoon,East,6,87,46,9.48,1.17,0.8903,45.0
Wheel Loader,950 GC,SITE_046,Monsoon,North,5,70,38,7.37,2.31,0.7616,40.0
Backhoe Loader,420,SITE_004,Monsoon,North,7,41,2,9.46,1.02,0.9026,22.0
Compact Track Loader,259D3,SITE_046,Winter,South,12,63,32,10.46,2.42,0.8123,33.0
Articulated Truck,745,SITE_010,Winter,South,6,83,7,4.46,2.46,0.6441,25.0
Articulated Truck,745,SITE_043,Winter,East,10,63,22,7.73,2.23,0.7758,36.0
Excavator,336,SITE_032,Winter,North,4,21,49,10.56,1.16,0.9013,60.0
Articulated Truck,745,SITE_014,Summer,West,10,27,19,5.01,3.18,0.6123,37.0
Wheel Loader,950 GC,SITE_025,Summer,South,12,67,42,4.15,3.16,0.568,49.0
Backhoe Loader,420,SITE_007,Monsoon,North,1,87,25,4.8,3.58,0.5729,26.0
Bulldozer,D8,SITE_049,Summer,East,6,76,35,7.39,1.5,0.8316,55.0
Excavator,336,SITE_022,Winter,West,2,80,35,10.03,2.38,0.8082,52.0
Articulated Truck,745,SITE_038,Winter,North,10,70,33,5.81,1.49,0.7955,41.0
Wheel Loader,966,SITE_046,Winter,East,8,85,23,5.13,1.77,0.7439,43.0
Backhoe Loader,420,SITE_049,PostMonsoon,East,9,9,9,5.98,2.17,0.7334,30.0
Wheel Loader,950 GC,SITE_006,PostMonsoon,South,7,56,44,9.43,3.89,0.7078,51.0
Articulated Truck,745,SITE_028,Summer,South,5,78,10,6.77,3.75,0.6439,32.0
Articulated Truck,745,SITE_018,Monsoon,South,4,76,13,5.16,2.84,0.6451,27.0
Articulated Truck,745,SITE_038,Summer,South,1,14,38,9.13,3.46,0.7251,46.0
Bulldozer,D6,SITE_004,Monsoon,East,6,25,33,4.82,3.22,0.5997,32.0
Excavator,336,SITE_004,Winter,East,10,65,28,8.81,1.28,0.8732,51.0
Wheel Loader,966,SITE_025,Winter,East,10,11,36,5.31,3.57,0.5978,47.0
Wheel Loader,950 GC,SITE_044,Summer,North,2,53,45,7.21,2.07,0.7768,57.0
Excavator,336,SITE_022,PostMonsoon,South,12,36,27,5.71,1.34,0.8101,58.0
Wheel Loader,950 GC,SITE_034,Summer,North,2,64,12,8.56,2.86,0.7493,40.0
Bulldozer,D8,SITE_017,Summer,South,11,21,28,8.44,1.38,0.8596,50.0
Articulated Truck,745,SITE_028,PostMonsoon,North,6,79,21,5.59,3.51,0.6142,39.0
Motor Grader,140,SITE_003,Winter,East,9,53,39,6.52,1.21,0.844,39.0
Wheel Loader,966,SITE_014,Winter,South,1,45,10,9.52,2.99,0.7607,41.0
Excavator,336,SITE_033,Monsoon,North,11,29,28,6.73,2.14,0.7588,42.0
Wheel Loader,950 GC,SITE_019,Monsoon,North,11,31,41,9.18,3.75,0.7097,38.0
Motor Grader,140,SITE_022,Winter,West,3,57,4,9.28,3.41,0.731,23.0
Motor Grader,140,SITE_019,PostMonsoon,South,8,44,37,4.68,1.73,0.7304,44.0
Excavator,320 GC,SITE_025,Monsoon,North,5,65,15,9.2,1.14,0.8894,36.0
Compact Track Loader,259D3,SITE_016,Summer,East,1,54,31,7.0,1.8,0.7953,42.0
Excavator,336,SITE_021,PostMonsoon,West,5,54,21,5.54,2.47,0.6921,54.0
Compact Track Loader,259D3,SITE_004,PostMonsoon,West,2,71,9,7.62,2.29,0.7689,31.0
Bulldozer,D8,SITE_012,Monsoon,North,9,25,27,5.15,1.51,0.7732,37.0
Compact Track Loader,259D3,SITE_029,PostMonsoon,South,7,77,29,4.73,2.15,0.6871,36.0
Wheel Loader,950 GC,SITE_022,Winter,East,8,40,28,9.21,2.52,0.7852,39.0
Compact Track Loader,259D3,SITE_018,Summer,West,12,12,27,10.35,1.72,0.8578,38.0
Backhoe Loader,420,SITE_001,Summer,West,1,46,15,8.28,1.84,0.8179,34.0
Bulldozer,D8,SITE_049,Monsoon,West,8,49,21,4.76,2.02,0.7023,31.0
Bulldozer,D6,SITE_049,Winter,East,10,60,42,6.78,1.26,0.8431,43.0
