equipment_type,model,equipment_age,engine_hours_per_day,idle_hours_per_day,fuel_level,engine_temperature,battery_voltage,days_since_last_service,fault_code_count,total_operating_hours,target_maintenance_probability,target_days_until_service,target_confidence
Bulldozer,D8,6,11.98,2.19,83.47,111.04,11.77,255,0,7284.49,0.5244,38.9,0.9788
Bulldozer,D6,5,9.67,4.93,91.28,90.52,14.44,102,1,5010.81,0.2367,68.5,0.844
Articulated Truck,745,7,8.28,4.34,81.68,95.78,14.03,277,3,1261.71,0.4876,46.3,0.9877
Excavator,336,11,8.96,2.38,58.35,95.8,13.25,12,3,2591.62,0.287,63.7,0.8927
Excavator,336,10,4.69,5.02,41.06,92.43,11.6,5,4,5798.96,0.2744,64.5,0.8527
Backhoe Loader,420,11,2.47,4.9,66.51,74.45,14.12,52,4,529.84,0.3517,58.4,0.919
Backhoe Loader,420,7,8.38,4.46,15.61,76.43,11.9,7,6,10211.07,0.322,60.5,0.9022
Wheel Loader,950 GC,9,10.85,1.5,60.76,97.22,11.77,130,3,3181.99,0.3919,51.6,0.9486
Excavator,336,4,8.45,3.73,77.09,94.95,11.88,105,5,10845.95,0.3338,57.8,0.9063
Bulldozer,D8,5,13.2,0.54,30.28,92.96,12.96,99,7,10812.8,0.4415,49.0,0.9676
Bulldozer,D8,2,8.91,5.55,10.48,111.25,12.97,66,0,8762.26,0.2635,63.7,0.8843
Bulldozer,D6,6,13.62,4.41,27.96,94.09,13.09,5,1,9329.46,0.1186,78.0,0.7692
Wheel Loader,950 GC,1,6.43,3.0,59.37,88.47,12.11,172,1,1510.48,0.2602,66.5,0.8459
Bulldozer,D8,7,11.53,1.09,86.57,104.38,12.73,141,1,2584.18,0.385,55.1,0.9427
Articulated Truck,745,11,11.54,1.61,24.73,86.93,13.94,82,1,10940.46,0.2758,66.4,0.8484
Excavator,336,8,7.42,4.43,90.97,100.72,13.12,67,6,7141.09,0.4362,48.3,0.9542
Articulated Truck,745,3,8.51,2.87,39.95,103.92,13.58,19,6,7630.84,0.3749,57.7,0.9258
Wheel Loader,966,6,11.03,4.39,80.07,76.29,12.11,14,4,10582.8,0.2621,65.6,0.8546
Articulated Truck,745,5,7.84,2.75,79.47,82.37,13.3,296,1,3395.69,0.4258,50.1,0.9503
Backhoe Loader,420,8,9.0,2.7,51.58,100.42,11.96,145,7,6317.72,0.5818,37.7,0.9687
Articulated Truck,745,5,10.49,1.34,61.87,100.2,12.77,33,5,11245.22,0.3523,58.2,0.9192
Bulldozer,D6,5,3.99,1.52,85.37,81.96,12.43,153,6,1129.76,0.4874,45.3,0.99
Bulldozer,D8,2,7.59,3.14,92.66,99.61,11.6,255,2,3354.6,0.3972,52.5,0.9411
Bulldozer,D6,8,5.74,4.79,34.98,78.6,12.14,53,6,11718.73,0.4324,48.6,0.9605
Articulated Truck,745,1,5.6,2.2,45.76,94.8,13.9,36,5,2692.91,0.2646,66.1,0.8533
Articulated Truck,745,3,2.79,4.77,50.8,97.73,12.82,118,5,6935.86,0.3831,55.0,0.9158
Excavator,336,1,2.3,1.36,74.44,101.77,11.58,251,2,3157.36,0.4325,51.2,0.9582
Wheel Loader,950 GC,3,9.83,1.81,18.95,79.3,13.67,124,5,10047.53,0.4026,52.3,0.935
Excavator,336,7,9.6,4.55,86.33,85.68,14.13,289,3,8595.38,0.5184,43.7,0.99
Backhoe Loader,420,2,6.36,0.69,84.76,82.36,13.82,230,4,3886.36,0.4628,48.3,0.9743
Wheel Loader,950 GC,1,5.22,3.48,67.01,79.74,11.92,239,5,11820.63,0.5058,42.5,0.99
Motor Grader,140,5,2.22,5.53,20.6,89.3,12.32,21,4,7991.33,0.2276,70.3,0.8528
Compact Track Loader,259D3,5,4.1,5.53,47.69,83.49,13.06,68,1,2412.26,0.2107,70.5,0.8284
Wheel Loader,966,3,4.94,2.64,35.98,82.67,13.66,299,7,7013.65,0.6905,27.4,0.8867
Excavator,320 GC,10,2.37,1.94,63.56,73.54,12.99,205,1,5953.73,0.4052,51.6,0.9299
Excavator,320 GC,9,10.46,3.79,51.37,74.28,11.73,112,3,11628.54,0.3754,55.3,0.9274
Articulated Truck,745,3,10.79,4.94,69.29,102.77,14.05,29,1,6128.39,0.2254,70.4,0.8373
Motor Grader,140,10,8.82,5.54,13.06,92.92,12.39,180,7,11667.17,0.5967,37.3,0.9423
Excavator,336,11,11.95,0.7,63.66,88.9,11.86,102,2,8507.32,0.3321,62.0,0.8903
Motor Grader,140,8,8.47,4.85,38.69,90.78,14.16,112,5,5301.32,0.4233,51.9,0.9604
Motor Grader,140,4,2.63,0.99,13.38,86.39,13.24,240,6,5080.3,0.5516,40.0,0.9624
Wheel Loader,966,5,10.79,0.52,52.06,80.91,14.06,150,5,7274.75,0.4342,50.5,0.951
Backhoe Loader,420,5,11.44,0.99,47.58,98.37,14.33,15,5,7554.23,0.2957,65.1,0.8937
Backhoe Loader,420,11,4.12,1.71,26.78,95.39,12.55,265,5,11644.68,0.6665,29.2,0.8918
Wheel Loader,950 GC,6,9.48,4.61,13.14,98.85,14.08,271,0,4998.45,0.4391,50.2,0.9458
Wheel Loader,950 GC,9,12.23,0.69,39.61,99.95,13.71,230,7,3405.46,0.6937,26.6,0.8928
Wheel Loader,950 GC,8,9.95,3.49,87.8,94.02,13.06,172,3,10281.69,0.4139,53.4,0.9555
Compact Track Loader,259D3,5,10.16,3.9,77.74,76.76,14.14,253,2,10609.32,0.4373,50.4,0.9542
Excavator,336,11,13.77,3.97,33.38,101.02,13.12,167,7,1730.28,0.6723,29.9,0.9124
Excavator,336,5,3.23,5.65,71.91,84.04,12.4,21,3,1274.53,0.1633,76.8,0.7932
Excavator,336,4,9.77,3.77,44.53,83.97,13.96,83,7,9359.69,0.4119,52.1,0.9659
Excavator,336,4,7.11,2.98,24.73,105.84,13.58,292,1,9387.46,0.5269,42.0,0.9654
Backhoe Loader,420,6,4.76,1.67,12.8,91.55,12.61,275,3,5941.91,0.497,45.8,0.99
Excavator,336,4,2.21,4.88,36.48,109.36,14.4,50,6,6037.51,0.4634,51.0,0.9776
Bulldozer,D8,6,5.91,3.75,48.99,111.53,11.95,281,1,8325.25,0.577,38.6,0.9531
Bulldozer,D8,11,10.34,5.23,80.19,83.19,12.94,92,0,3283.52,0.2929,63.6,0.881
Excavator,336,1,8.21,0.98,41.56,83.0,11.74,107,1,11740.86,0.2105,72.0,0.8165
Excavator,336,10,4.01,1.08,67.28,103.19,11.59,266,0,1097.67,0.5535,40.7,0.9718
Wheel Loader,966,11,7.81,4.13,59.77,89.92,13.85,7,6,6553.63,0.3843,54.9,0.9326
Bulldozer,D8,7,9.8,3.14,65.42,91.87,12.91,177,7,10526.08,0.5452,40.8,0.9597
Articulated Truck,745,9,7.92,0.95,46.29,88.62,12.76,211,0,10165.2,0.3826,57.3,0.9268
Bulldozer,D6,4,10.82,4.72,55.44,88.3,13.04,109,3,838.04,0.321,58.8,0.9058
Motor Grader,140,10,13.91,2.06,42.32,83.52,12.9,25,6,3211.61,0.388,54.4,0.9467
Motor Grader,140,10,4.85,5.84,26.29,97.63,12.98,115,5,6420.4,0.496,42.8,0.99
Compact Track Loader,259D3,2,12.3,0.55,62.96,89.96,12.69,291,2,10662.66,0.4171,49.6,0.9437
Backhoe Loader,420,9,7.17,1.87,65.54,93.2,12.0,288,0,7463.69,0.4586,45.5,0.9822
Articulated Truck,745,6,4.47,1.12,34.28,83.71,13.09,24,1,952.45,0.1599,75.4,0.7856
Bulldozer,D6,11,5.79,3.29,13.74,76.45,14.46,220,2,556.81,0.472,48.2,0.9818
Excavator,336,7,10.0,1.27,12.7,91.24,13.61,238,3,8244.47,0.4994,44.1,0.99
Bulldozer,D6,6,5.06,4.14,98.08,83.23,11.55,149,1,10492.41,0.2774,65.1,0.8684
Excavator,320 GC,1,4.59,4.12,45.45,91.54,11.82,224,1,11993.26,0.3203,62.7,0.8897
Compact Track Loader,259D3,5,8.8,4.56,89.07,84.12,12.48,106,2,9790.23,0.2756,66.1,0.8783
Articulated Truck,745,6,9.79,2.31,66.72,100.29,13.19,97,0,7359.58,0.2359,65.5,0.8592
Bulldozer,D8,10,9.04,1.43,67.83,104.78,13.0,89,1,11442.0,0.3659,55.3,0.9181
Motor Grader,140,6,10.96,4.44,56.91,96.67,12.79,121,3,11478.59,0.3127,60.1,0.9029
Wheel Loader,966,5,7.75,1.57,24.97,90.52,13.07,31,4,9734.8,0.2104,71.7,0.8414
Excavator,320 GC,4,11.88,3.37,21.09,97.78,13.9,163,6,3895.7,0.5085,43.4,0.99
Articulated Truck,745,4,7.09,0.98,83.42,93.21,13.08,51,2,529.72,0.1894,76.3,0.8269
Backhoe Loader,420,8,6.93,5.12,91.0,82.6,12.21,297,3,3660.27,0.5674,38.5,0.972
Backhoe Loader,420,9,3.15,3.93,50.66,89.6,12.0,112,1,5938.26,0.2544,67.3,0.842
Motor Grader,140,11,4.78,2.65,63.5,86.9,14.46,295,6,8494.16,0.6919,25.6,0.8657
Motor Grader,140,9,10.31,5.95,21.56,75.12,13.67,46,7,3652.85,0.4067,52.3,0.9381
Excavator,320 GC,2,10.04,0.88,67.62,80.13,13.28,71,5,3154.54,0.2914,61.7,0.8729
Excavator,336,7,6.54,2.5,99.59,95.39,12.5,154,3,1520.83,0.3858,55.8,0.9247
Backhoe Loader,420,9,11.86,0.51,37.08,101.44,12.92,34,4,1878.03,0.377,57.4,0.9338
Excavator,320 GC,9,10.06,1.01,33.13,95.64,14.09,276,3,9493.32,0.532,40.8,0.9738
Compact Track Loader,259D3,9,8.12,5.04,35.17,100.27,14.12,266,2,9542.17,0.5458,43.4,0.99
Wheel Loader,966,10,8.01,2.68,58.58,90.84,13.52,162,5,9768.14,0.4881,47.6,0.99
Excavator,336,11,10.34,2.4,97.8,101.23,13.97,285,4,10413.17,0.6672,29.9,0.9079
Bulldozer,D8,4,8.03,2.69,23.17,93.03,11.7,29,6,11575.82,0.319,61.4,0.8734
Wheel Loader,966,2,5.33,5.18,10.03,72.53,13.31,155,2,4944.3,0.2679,63.9,0.8635
Compact Track Loader,259D3,2,7.82,4.65,65.75,80.92,12.79,103,4,1895.93,0.2829,64.1,0.8659
Wheel Loader,966,4,13.96,4.98,65.37,81.19,13.37,128,5,5399.96,0.3902,52.8,0.9319
Motor Grader,140,11,6.97,5.05,76.03,95.08,11.53,66,2,5313.68,0.298,65.2,0.8689
Bulldozer,D6,1,5.88,5.09,66.64,77.97,11.69,164,3,4771.2,0.3279,61.7,0.8837
Bulldozer,D6,4,5.19,1.32,21.45,97.94,12.23,86,7,9822.89,0.4625,48.9,0.9824
Excavator,320 GC,9,3.23,4.12,94.85,96.27,11.73,101,1,11198.67,0.2782,66.2,0.8598
Motor Grader,140,2,6.64,2.98,30.43,98.68,12.85,177,2,1715.48,0.3427,59.5,0.9136
Wheel Loader,950 GC,8,3.26,0.7,55.77,83.63,12.89,232,2,11663.62,0.4702,46.1,0.9643
Bulldozer,D6,6,11.17,1.96,11.89,74.47,14.4,227,7,9346.07,0.5739,40.6,0.9524
Wheel Loader,966,9,9.73,3.42,13.78,101.05,13.9,144,2,11769.66,0.411,55.2,0.9646
Excavator,336,11,2.52,1.11,63.87,84.85,12.63,128,1,7548.81,0.3199,60.8,0.895
Wheel Loader,950 GC,10,11.79,5.24,86.19,99.57,12.26,153,5,10182.98,0.553,41.6,0.9755
Bulldozer,D8,6,13.82,5.66,13.89,86.94,11.9,287,1,2955.38,0.4721,47.5,0.9863
Excavator,320 GC,8,9.34,1.08,23.64,74.81,13.23,285,7,5488.71,0.729,24.7,0.8505
Articulated Truck,745,1,10.9,5.35,35.01,87.82,14.14,14,4,8930.32,0.1549,76.7,0.8049
Wheel Loader,966,4,2.06,4.69,13.18,94.37,12.11,24,2,9197.04,0.1408,77.2,0.7967
Wheel Loader,950 GC,5,3.5,2.62,67.9,95.41,12.15,158,4,8124.98,0.3926,52.9,0.9454
Wheel Loader,950 GC,8,3.25,1.74,73.26,73.58,12.96,162,1,7424.67,0.3214,59.6,0.8967
Articulated Truck,745,10,10.49,4.84,56.55,95.21,11.94,187,0,5491.22,0.3436,58.9,0.9213
Compact Track Loader,259D3,6,9.71,2.82,67.26,95.57,11.86,202,6,10157.73,0.554,41.9,0.9482
Bulldozer,D6,9,8.79,5.89,24.88,93.01,13.26,122,4,8523.21,0.3932,52.7,0.9219
Bulldozer,D6,10,13.25,4.38,66.81,73.5,14.21,133,7,8889.34,0.4865,45.3,0.99
Compact Track Loader,259D3,4,9.88,5.76,16.21,73.71,12.35,224,6,3340.26,0.5318,42.7,0.99
Backhoe Loader,420,9,11.32,0.86,53.88,73.01,11.69,254,2,2101.32,0.4678,44.3,0.9895
Motor Grader,140,6,12.8,0.62,69.74,100.9,13.18,203,4,1100.97,0.4896,45.1,0.99
Backhoe Loader,420,5,8.78,3.05,97.48,90.26,12.55,165,1,8780.09,0.2674,64.7,0.8588
Bulldozer,D8,7,8.54,5.89,30.47,94.12,13.13,90,0,6750.69,0.1908,71.6,0.8018
Excavator,336,6,12.2,4.18,51.61,94.35,13.45,90,3,1216.14,0.2913,65.9,0.8754
Backhoe Loader,420,3,2.62,4.82,28.12,79.76,11.99,72,5,9172.24,0.2895,64.6,0.8895
Excavator,320 GC,2,2.78,3.05,91.83,88.16,12.99,266,6,8052.97,0.5679,38.2,0.9707
Wheel Loader,950 GC,5,13.57,1.62,57.1,80.61,13.88,168,4,7797.7,0.3996,56.0,0.9404
Backhoe Loader,420,4,8.69,1.41,65.21,82.89,14.19,44,5,2118.18,0.3059,61.7,0.8784
Bulldozer,D6,11,5.76,4.89,97.1,97.71,11.85,20,0,5304.25,0.1666,75.6,0.7981
Motor Grader,140,11,10.24,1.01,12.64,96.69,12.13,137,2,2655.24,0.4089,53.6,0.9484
Excavator,336,6,10.52,2.23,52.41,106.65,12.88,217,7,6183.44,0.6972,28.7,0.8871
Articulated Truck,745,10,3.21,1.82,22.78,92.44,12.85,79,0,5508.31,0.2004,74.3,0.8254
Wheel Loader,950 GC,1,3.52,4.22,39.26,92.59,11.71,205,3,3112.56,0.354,59.3,0.9261
Compact Track Loader,259D3,6,6.32,0.88,78.68,84.25,13.78,43,0,9567.14,0.1454,75.1,0.7956
Excavator,320 GC,6,10.05,3.58,19.99,85.41,12.88,104,4,6786.45,0.3514,58.3,0.909
Compact Track Loader,259D3,8,10.88,5.55,35.2,97.75,12.38,279,0,10153.8,0.4342,51.0,0.962
Compact Track Loader,259D3,11,9.54,3.43,67.16,85.5,12.16,168,7,3528.13,0.5977,35.3,0.9497
Bulldozer,D6,3,4.72,4.52,63.89,73.93,14.13,6,0,4299.69,0.0334,87.8,0.7426
Excavator,320 GC,3,5.21,4.84,61.6,91.76,12.26,176,0,8982.01,0.2326,69.1,0.8344
Bulldozer,D8,9,6.09,1.41,25.35,110.44,12.84,161,2,3230.48,0.5346,40.4,0.9795
Bulldozer,D8,3,9.83,5.73,64.06,104.31,13.02,91,5,1315.72,0.4094,51.2,0.9395
Articulated Truck,745,3,5.32,5.84,39.82,96.46,12.09,295,7,3727.86,0.658,30.9,0.8906
Bulldozer,D8,1,2.09,1.7,13.3,85.24,12.52,249,0,3012.86,0.2928,63.5,0.884
Excavator,320 GC,9,11.82,3.42,89.19,89.24,11.59,196,2,1015.82,0.4045,54.7,0.9418
Excavator,320 GC,8,7.06,2.76,91.68,93.42,13.32,244,0,9973.59,0.3876,54.2,0.9255
Excavator,320 GC,4,6.43,1.17,47.71,94.54,11.71,247,6,9123.28,0.57,41.4,0.9473
Backhoe Loader,420,2,12.66,3.79,55.19,76.17,11.85,43,3,2476.26,0.2143,71.9,0.8414
Articulated Truck,745,2,2.14,2.82,36.55,96.58,13.23,217,5,6924.39,0.4838,48.4,0.9816
Compact Track Loader,259D3,6,12.15,4.31,48.69,92.19,12.33,126,5,5633.82,0.4201,52.9,0.9338
Backhoe Loader,420,11,9.21,4.38,71.96,83.24,12.0,11,3,1014.95,0.249,67.9,0.8282
Excavator,336,3,6.09,0.89,46.87,91.34,13.53,180,3,7172.55,0.3412,59.5,0.8936
Backhoe Loader,420,11,4.51,5.59,47.27,83.86,12.44,129,6,6110.29,0.515,43.7,0.99
Bulldozer,D6,10,6.5,3.11,49.97,101.85,13.14,289,4,7479.09,0.6803,29.4,0.8792
Bulldozer,D6,11,12.06,2.46,84.41,93.27,12.03,25,3,10052.92,0.2816,62.8,0.8706
Articulated Truck,745,3,3.81,4.99,28.66,105.47,13.7,108,5,7047.84,0.4311,51.9,0.954
Excavator,320 GC,5,8.52,1.75,96.76,99.28,13.67,177,6,10504.65,0.5347,42.3,0.9753
Bulldozer,D6,1,10.17,3.07,13.1,101.09,14.35,158,7,1577.23,0.5192,45.7,0.9877
Excavator,320 GC,8,7.29,3.83,92.69,82.87,13.68,223,1,5599.74,0.3592,60.0,0.9325
Motor Grader,140,3,4.41,1.1,86.86,85.17,14.04,151,6,10659.84,0.4505,45.0,0.9769
Excavator,336,6,10.25,4.47,72.33,86.03,12.4,208,1,4334.18,0.3591,58.0,0.9327
Wheel Loader,950 GC,3,4.41,5.97,18.08,72.07,11.63,296,0,7778.42,0.3864,55.4,0.9257
Motor Grader,140,9,10.68,2.04,71.87,72.73,12.42,76,2,7769.03,0.2824,67.2,0.8762
Wheel Loader,950 GC,11,12.43,4.25,20.16,97.26,12.23,192,1,1338.37,0.3895,53.8,0.926
Articulated Truck,745,7,13.15,2.73,91.55,91.64,12.93,237,5,11758.28,0.5327,39.6,0.99
Compact Track Loader,259D3,9,3.48,5.39,55.28,85.48,13.26,58,3,7826.54,0.2422,70.9,0.8376
Bulldozer,D8,4,3.71,4.76,34.43,96.9,12.35,252,1,8799.8,0.3798,54.8,0.9125
Compact Track Loader,259D3,1,8.13,0.76,34.86,93.21,11.69,268,0,4414.26,0.3289,58.8,0.8994
Excavator,336,3,7.21,5.5,43.96,110.92,11.77,190,6,6178.86,0.6646,32.5,0.888
Articulated Truck,745,7,2.05,1.42,74.17,101.99,14.4,15,0,8275.24,0.2197,69.6,0.8076
Compact Track Loader,259D3,3,7.49,1.65,43.18,83.09,11.66,17,1,6848.8,0.0942,84.0,0.7503
Compact Track Loader,259D3,9,12.44,4.52,68.29,95.89,13.76,241,1,5039.45,0.4428,49.6,0.99
Bulldozer,D6,11,6.41,0.82,20.04,87.48,12.3,57,1,668.97,0.2217,67.8,0.8217
Bulldozer,D8,1,3.49,2.78,54.36,94.13,13.09,186,3,614.12,0.3528,58.2,0.9318
Wheel Loader,966,7,11.29,4.75,56.92,101.28,11.88,185,1,9356.82,0.408,52.9,0.9467
Bulldozer,D8,7,2.21,2.11,79.58,97.54,12.54,130,3,515.57,0.3968,52.3,0.9448
Articulated Truck,745,6,3.83,5.45,73.91,110.12,13.31,209,6,1186.74,0.7086,27.5,0.8926
Articulated Truck,745,9,4.87,3.42,68.59,101.34,13.18,282,0,2857.28,0.5202,45.3,0.9765
Bulldozer,D6,8,9.63,2.63,70.67,79.8,12.54,56,5,3840.8,0.334,61.4,0.8997
Compact Track Loader,259D3,2,10.28,5.62,54.76,78.91,11.63,165,1,3972.04,0.241,70.2,0.8512
Excavator,336,10,4.16,3.02,60.48,107.92,12.94,239,3,10201.97,0.6492,30.9,0.9164
Bulldozer,D8,9,4.36,5.73,99.53,103.35,14.44,143,4,5525.45,0.4985,45.4,0.99
Wheel Loader,966,3,10.79,2.45,72.85,83.86,14.36,251,7,2359.22,0.5937,39.3,0.9419
Excavator,320 GC,11,10.0,1.39,60.86,95.15,13.0,141,4,603.94,0.4659,47.8,0.9858
Articulated Truck,745,10,5.86,5.16,75.6,84.86,12.79,145,4,1862.78,0.4188,51.2,0.9356
Excavator,336,3,7.94,3.32,53.34,101.06,11.77,98,2,1163.58,0.2534,66.6,0.8645
Excavator,336,4,12.17,5.46,88.96,111.23,11.58,207,0,947.69,0.4155,52.0,0.9562
Wheel Loader,966,5,10.63,3.6,48.48,81.79,14.02,113,3,5446.18,0.3352,59.0,0.887
Articulated Truck,745,9,5.55,3.77,12.95,101.08,12.59,275,2,6329.59,0.5734,40.3,0.9523
Articulated Truck,745,4,10.32,4.74,68.92,86.55,14.13,185,7,3835.34,0.525,43.8,0.99
Compact Track Loader,259D3,6,6.35,4.48,28.05,78.11,11.53,216,2,10651.45,0.4507,51.1,0.9613
Wheel Loader,966,9,12.18,2.82,37.26,81.76,13.64,210,0,4765.82,0.3867,52.6,0.926
Backhoe Loader,420,10,2.25,1.98,56.58,80.07,13.39,218,0,4659.67,0.3839,55.7,0.9353
Bulldozer,D6,5,3.23,3.33,55.8,83.08,14.3,92,1,8517.91,0.2009,74.6,0.8229
Motor Grader,140,9,5.29,4.94,27.57,82.36,12.51,249,2,1867.06,0.488,47.2,0.99
Motor Grader,140,1,5.74,3.15,55.6,83.62,14.22,47,3,1930.4,0.1896,74.8,0.8143
Bulldozer,D8,9,8.41,3.47,48.66,91.27,12.95,17,7,9700.04,0.4533,46.0,0.983
Backhoe Loader,420,9,3.89,2.2,36.1,98.14,13.52,11,5,7686.05,0.3685,57.2,0.9174
Excavator,320 GC,5,5.68,2.44,65.92,82.02,13.7,73,5,3342.01,0.338,58.6,0.9005
Compact Track Loader,259D3,3,10.13,0.9,28.49,83.44,14.45,88,5,8935.1,0.3329,59.5,0.9045
Wheel Loader,966,8,5.32,2.88,98.23,74.03,13.06,21,1,11662.78,0.1887,72.7,0.804
Bulldozer,D6,2,10.45,2.83,41.19,83.93,12.29,270,1,6054.96,0.3591,56.2,0.9175
Motor Grader,140,7,4.07,5.59,16.15,84.91,13.59,88,2,7957.81,0.2666,67.8,0.8701
Bulldozer,D8,9,8.31,1.87,10.18,87.22,11.85,270,4,11364.47,0.5885,37.5,0.9508
Excavator,336,9,2.61,3.95,44.71,110.09,13.13,87,0,3035.56,0.3384,60.7,0.9176
Bulldozer,D8,6,3.22,0.55,49.02,84.78,13.75,131,0,5491.24,0.2191,67.9,0.849
Compact Track Loader,259D3,9,4.9,4.43,18.23,77.98,14.13,51,7,3356.33,0.4621,47.4,0.9686
Excavator,336,8,6.26,2.84,29.38,99.91,13.28,98,7,4329.9,0.5205,44.5,0.9694
Articulated Truck,745,3,9.4,4.59,76.41,97.64,11.71,213,0,2871.5,0.3113,61.1,0.8975
Excavator,320 GC,6,12.32,0.69,80.86,84.34,14.12,127,3,10086.9,0.4009,53.8,0.9444
Excavator,336,2,8.0,4.82,63.9,88.03,13.27,139,4,5899.54,0.3276,62.0,0.8865
Bulldozer,D8,2,6.91,5.58,20.07,97.49,13.86,25,1,10639.44,0.128,79.9,0.7735
Wheel Loader,966,11,8.18,3.45,42.12,82.61,13.99,157,4,4039.65,0.4584,47.0,0.9614
Backhoe Loader,420,10,13.29,5.32,19.23,83.78,13.16,39,6,2729.43,0.4039,54.9,0.9441
Wheel Loader,950 GC,9,2.16,2.13,51.33,84.33,13.67,116,6,5440.5,0.4761,48.1,0.9898
